"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Central Europe and the Baltics","CEB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","96.2844696044922","96.3281936645508","96.3709106445313","96.4714431762695","96.5305480957031","96.5779800415039","96.6466903686523","96.8444213867188","96.9766998291016","97.1114120483398","97.2316589355469","97.3419799804688","97.4440689086914","97.5539932250977","97.6638412475586","97.7666625976563","97.8556976318359","98.0732879638672","98.0413665771484","98.0838088989258","98.1649703979492","98.2543869018555","98.3073577880859","98.3732833862305","98.4382705688477","98.4496002197266","98.5024490356445","98.5735702514648","98.8904037475586","98.9467010498047","98.9976577758789","99.0310363769531","99.0527420043945","99.0835266113281","99.1130523681641","99.1524810791016","99.1790771484375","99.2041778564453","99.2302398681641","99.2557220458984","","",
"Switzerland","CHE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","90.8001174926758","","","","","","","","","","94.0367126464844","","","","","","","","","","95.6409301757813","","","","","","97.742057800293","97.4008331298828","","96.5307083129883","","96.161750793457","","96.7439575195313","","96.3340225219727","","","","96.9800033569336","",
"China","CHN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","51.1368103027344","","","","","","","","68.0720825195313","","","","","","","","","","86.5266036987305","","","","","","","","","","92.7112274169922","","","","","","","","95.1593322753906","","95.6100006103516","","",
"Cote d'Ivoire","CIV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.433780670166","","","","","","","","","","28.4766693115234","","38.6145095825195","","","","","","","","","","","","30.4617195129395","","36.7842483520508","","","","","86.7412490844727","","","",
"Cameroon","CMR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","29.1161308288574","","","","","","","","","","","","","","","","","","","","","","","","58.7217597961426","","","","","","","63.0220603942871","","","64.7994995117188","","","","","","","","71.5862731933594","","73.120002746582","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0609016418457","","","","","","46.1042518615723","","","","","62.9186401367188","","","","66.4999771118164","","","","","70.7600021362305","",
"Congo, Rep.","COG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","49.0013389587402","","","","","","","","","","","","","","","","","","","","","67.4807662963867","","","","","","72.8770599365234","","","","","","","74.6187591552734","","","75.370002746582","",
"Colombia","COL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1479034423828","","","91.3140029907227","","","","","","","","92.7146301269531","92.911247253418","92.2205963134766","92.8456192016602","93.4353713989258","93.4151306152344","93.4867935180664","93.6671295166016","","","94.4846572875977","94.4158172607422","94.8902206420898","","95.3189163208008","95.4690322875977","95.8750610351563","","",
